=== COMPLETE after ~4290s ===
BUDGET SWEEP: accuracy vs context tokens by policy (LoCoMo cats1-4, qwen3:8b)
========================================================================
policy          k      F1  contain  ctx_tok/q
full            2   0.217    0.140       19.4
full            4   0.251    0.155       38.9
full            8   0.260    0.160       77.5
full           12   0.285    0.165      116.3
naive_dedup     2   0.116    0.070       19.1
naive_dedup     4   0.136    0.075       39.1
naive_dedup     8   0.146    0.085       77.7
naive_dedup    12   0.153    0.085      117.2
query_aware     2   0.184    0.110       19.5
query_aware     4   0.213    0.125       39.4
query_aware     8   0.270    0.165       79.0
query_aware    12   0.291    0.160      119.2

Pareto read: at matched F1, which policy uses fewer ctx tokens? Does query_aware reach full's best F1 at smaller k?
